image_path,alarme,weapon_detection_best_status,weapon_detection_best_detections,weapon_detection_best2_status,weapon_detection_best2_detections,weapon_detection_model_status,weapon_detection_model_detections,weapon_detection_EffientNet_status,weapon_detection_EffientNet_detections,emotion_recognition_deepface_status,emotion_recognition_deepface_emotions,emotion_recognition_fer_status,emotion_recognition_fer_emotions,environment_detection_violenceEnvironment_detection_status,environment_detection_violenceEnvironment_detection_detections
C:\Vasco\Tese\Projeto\ProjetoFinal\SecurityDetectionML\Sistema_de_Seguranca\INFERENCE_ENGINE\EvaluateModels\AlarmPhotos\Positive\05_14_0000498_jpg.rf.2dc6749bf53c2f5bb832d7017b206ce9.jpg,1,success,"[{'label': 'guns', 'confidence': 0.5970722436904907}]",success,[],success,"[{'label': 'Pistol', 'confidence': 0.8071887493133545}]",success,"[{'label': 'no weapon', 'confidence': 0.0, 'bounding_box': None}]",success,"{'emotion': 'sad', 'confidence': 48.79114322609563}",success,"{'emotion': 'angry', 'confidence': 0.34}",success,[]
C:\Vasco\Tese\Projeto\ProjetoFinal\SecurityDetectionML\Sistema_de_Seguranca\INFERENCE_ENGINE\EvaluateModels\AlarmPhotos\Positive\05_14_0000524_jpg.rf.55dc571600a14c155d55e69eb39040d4.jpg,1,success,"[{'label': 'guns', 'confidence': 0.8635729551315308}]",success,[],success,"[{'label': 'Pistol', 'confidence': 0.9129512906074524}]",success,"[{'label': 'weapon', 'confidence': 0.9937805533409119, 'bounding_box': {'x1': 356, 'y1': 316, 'x2': 540, 'y2': 480}}]",success,"{'emotion': 'fear', 'confidence': 56.962566737822684}",success,"{'emotion': 'No Face', 'confidence': 0.0}",success,[]
C:\Vasco\Tese\Projeto\ProjetoFinal\SecurityDetectionML\Sistema_de_Seguranca\INFERENCE_ENGINE\EvaluateModels\AlarmPhotos\Positive\2058_jpg.rf.63ecb8f6bd31bfad7d9ee67929c67235.jpg,1,success,"[{'label': 'knife', 'confidence': 0.9346847534179688}]",success,"[{'label': 'gun', 'confidence': 0.5804662704467773}]",success,"[{'label': 'Grenade', 'confidence': 0.6798542737960815}]",success,"[{'label': 'weapon', 'confidence': 0.9822956919670105, 'bounding_box': {'x1': 122, 'y1': 316, 'x2': 356, 'y2': 108}}]",success,"{'emotion': 'happy', 'confidence': 99.75169897079468}",success,"{'emotion': 'No Face', 'confidence': 0.0}",success,[]
C:\Vasco\Tese\Projeto\ProjetoFinal\SecurityDetectionML\Sistema_de_Seguranca\INFERENCE_ENGINE\EvaluateModels\AlarmPhotos\Positive\2157_jpg.rf.e05fed412493a60318d4d8b6ead11b95.jpg,1,success,[],success,[],success,[],success,"[{'label': 'weapon', 'confidence': 0.9971129894256592, 'bounding_box': {'x1': 122, 'y1': 316, 'x2': 356, 'y2': 108}}]",success,"{'emotion': 'angry', 'confidence': 61.083002219558026}",success,"{'emotion': 'No Face', 'confidence': 0.0}",success,[]
C:\Vasco\Tese\Projeto\ProjetoFinal\SecurityDetectionML\Sistema_de_Seguranca\INFERENCE_ENGINE\EvaluateModels\AlarmPhotos\Positive\2219_jpg.rf.94a0f263f223f80df6a269b94a139fbf.jpg,1,success,"[{'label': 'guns', 'confidence': 0.9123285412788391}]",success,[],success,[],success,"[{'label': 'no weapon', 'confidence': 0.0, 'bounding_box': None}]",success,"{'emotion': 'sad', 'confidence': 99.98422264958755}",success,"{'emotion': 'fear', 'confidence': 0.29}",success,[]
C:\Vasco\Tese\Projeto\ProjetoFinal\SecurityDetectionML\Sistema_de_Seguranca\INFERENCE_ENGINE\EvaluateModels\AlarmPhotos\Positive\2219_jpg.rf.d3dcf284217b80936a8c2d90b5169f51.jpg,1,success,"[{'label': 'knife', 'confidence': 0.9370748400688171}, {'label': 'knife', 'confidence': 0.6593185663223267}]",success,[],success,[],success,"[{'label': 'no weapon', 'confidence': 0.0, 'bounding_box': None}]",success,"{'emotion': 'sad', 'confidence': 99.77381229400635}",success,"{'emotion': 'No Face', 'confidence': 0.0}",success,[]
C:\Vasco\Tese\Projeto\ProjetoFinal\SecurityDetectionML\Sistema_de_Seguranca\INFERENCE_ENGINE\EvaluateModels\AlarmPhotos\Positive\267_jpeg_jpg.rf.2ab62ae727969b306b0226cfa7b51745.jpg,1,success,"[{'label': 'guns', 'confidence': 0.8459162712097168}]",success,[],success,"[{'label': 'Pistol', 'confidence': 0.85091632604599}]",success,"[{'label': 'weapon', 'confidence': 0.9264369010925293, 'bounding_box': {'x1': 356, 'y1': 316, 'x2': 540, 'y2': 480}}]",success,"{'emotion': 'happy', 'confidence': 99.99501705110276}",success,"{'emotion': 'No Face', 'confidence': 0.0}",success,"[{'label': 'violence', 'confidence': 0.5359172821044922, 'bounding_box': {'x1': 41, 'y1': 26, 'x2': 501, 'y2': 399}}]"
C:\Vasco\Tese\Projeto\ProjetoFinal\SecurityDetectionML\Sistema_de_Seguranca\INFERENCE_ENGINE\EvaluateModels\AlarmPhotos\Positive\363_jpg.rf.2c223cf8f409f257f95c1e2488363c8d.jpg,1,success,"[{'label': 'guns', 'confidence': 0.6584597229957581}]",success,[],success,"[{'label': 'Pistol', 'confidence': 0.6639134883880615}]",success,"[{'label': 'weapon', 'confidence': 0.9939221143722534, 'bounding_box': {'x1': 0, 'y1': 316, 'x2': 356, 'y2': 480}}]",success,"{'emotion': 'sad', 'confidence': 95.01451253890991}",success,"{'emotion': 'sad', 'confidence': 0.31}",success,[]
C:\Vasco\Tese\Projeto\ProjetoFinal\SecurityDetectionML\Sistema_de_Seguranca\INFERENCE_ENGINE\EvaluateModels\AlarmPhotos\Positive\372_jpg.rf.0c83d6dead76375e1febda2eb1d2af96.jpg,1,success,"[{'label': 'guns', 'confidence': 0.7577704191207886}]",success,[],success,[],success,"[{'label': 'no weapon', 'confidence': 0.0, 'bounding_box': None}]",success,"{'emotion': 'happy', 'confidence': 99.99568462371826}",success,"{'emotion': 'No Face', 'confidence': 0.0}",success,[]
C:\Vasco\Tese\Projeto\ProjetoFinal\SecurityDetectionML\Sistema_de_Seguranca\INFERENCE_ENGINE\EvaluateModels\AlarmPhotos\Positive\4733_jpg.rf.369af53f82983ea5ed8b4e054ef60726.jpg,1,success,"[{'label': 'knife', 'confidence': 0.9408478736877441}]",success,[],success,[],success,"[{'label': 'weapon', 'confidence': 0.9798251986503601, 'bounding_box': {'x1': 0, 'y1': 316, 'x2': 234, 'y2': 424}}]",success,"{'emotion': 'fear', 'confidence': 99.76400136947632}",success,"{'emotion': 'sad', 'confidence': 0.36}",success,[]
